"country","continent","region","1990","1990_male","1990_female","1995","1995_male","1995_female","2000","2000_male","2000_female","2005","2005_male","2005_female","2010","2010_male","2010_female","2015","2015_male","2015_female","2020","2020_male","2020_female","2024","2024_male","2024_female"
"Sudan","AFRICA","Northern Africa","1402896","1053396","805086","546419","618709","620523","1379147","2397113","696385","525701","404618","278084","314552","311885","685177","1190915","706511","527695","400468","268335","304157","308638","693970","1206198"
"Tunisia","AFRICA","Northern Africa","37984","37867","36719","35040","43172","56532","60145","63201","18900","19045","18679","18000","22236","29253","31474","33073","19084","18822","18040","17040","20936","27279","28671","30128"
"Botswana","AFRICA","Southern Africa","27510","40168","74934","84661","94863","103053","110268","116402","16614","23517","43840","49159","54019","58651","62817","66311","10896","16651","31094","35502","40844","44402","47451","50091"
"Eswatini","AFRICA","Southern Africa","74991","35157","34084","33392","32637","32352","32858","33268","39905","18701","17921","17369","16790","16627","16921","17132","35086","16456","16163","16023","15847","15725","15937","16136"
"Lesotho","AFRICA","Southern Africa","8240","7204","6167","6290","6414","9152","12060","15039","4318","3827","3335","3402","3469","5037","6537","8152","3922","3377","2832","2888","2945","4115","5523","6887"
"Namibia","AFRICA","Southern Africa","120641","115372","135547","107347","103826","101618","109391","116035","63748","61310","73154","57625","55803","54739","59024","62609","56893","54062","62393","49722","48023","46879","50367","53426"
"South Africa","AFRICA","Southern Africa","1285707","1006597","997703","1513855","2274466","3162564","2639076","2631100","819738","632818","599831","927121","1409652","2024994","1579132","1529239","465969","373779","397872","586734","864814","1137570","1059944","1101861"
"Benin","AFRICA","Western Africa","76751","105703","134655","248320","309225","366284","394276","418202","40418","56304","72190","122368","143632","172056","185619","196883","36333","49399","62465","125952","165593","194228","208657","221319"
"Burkina Faso","AFRICA","Western Africa","349652","464104","520363","597658","674438","704676","723989","739820","167834","223156","250555","285871","320939","335328","344331","351860","181818","240948","269808","311787","353499","369348","379658","387960"
"Cabo Verde","AFRICA","Western Africa","8931","9979","11027","12700","14373","14924","15788","16515","4429","5091","5753","6523","7293","7547","7985","8353","4502","4888","5274","6177","7080","7377","7803","8162"
