"country","continent","region","1990","1990_male","1990_female","1995","1995_male","1995_female","2000","2000_male","2000_female","2005","2005_male","2005_female","2010","2010_male","2010_female","2015","2015_male","2015_female","2020","2020_male","2020_female","2024","2024_male","2024_female"
"Montenegro","EUROPE","Southern Europe","73743","73743","73743","73743","78512","71719","70999","92237","29497","29497","29497","29497","31639","28178","27995","42048","44246","44246","44246","44246","46873","43541","43004","50189"
"North Macedonia","EUROPE","Southern Europe","95142","109343","125665","127667","129701","130730","131311","150902","39661","45581","52385","53220","54067","54496","54740","63435","55481","63762","73280","74447","75634","76234","76571","87467"
"Portugal","EUROPE","Southern Europe","435782","532822","651472","771184","762825","864814","1001963","1127184","209922","259337","320319","376774","371536","398390","479936","539916","225860","273485","331153","394410","391289","466424","522027","587268"
"San Marino","EUROPE","Southern Europe","3310","3659","4045","4218","4880","5195","5543","5838","1728","1940","2175","2302","2761","2867","2991","3150","1582","1719","1870","1916","2119","2328","2552","2688"
"Serbia*","EUROPE","Southern Europe","1064614","1543744","1419951","1078633","901044","797595","733091","712550","498523","715888","647339","484144","400596","352725","323353","314538","566091","827856","772612","594489","500448","444870","409738","398012"
"Slovenia","EUROPE","Southern Europe","178077","174419","214508","217218","253786","237616","277964","315122","89514","90255","114772","116741","145138","134460","162815","184580","88563","84164","99736","100477","108648","103156","115149","130542"
"Spain*","EUROPE","Southern Europe","813588","1258176","2023886","4372449","6281193","5892847","7146130","8870527","393727","621224","1021367","2284591","3223476","2893965","3465813","4287663","419861","636952","1002519","2087858","3057717","2998882","3680317","4582864"
"Austria","EUROPE","Western Europe","633753","764758","920045","1174101","1285706","1540486","1781046","2327064","293596","357560","440533","563878","612543","748684","870537","1099528","340157","407198","479512","610223","673163","791802","910509","1227536"
"Belgium","EUROPE","Western Europe","944340","1003834","1076676","1243352","1567639","1814949","2046975","2349032","462141","488507","522111","598216","762044","888330","1005769","1150738","482199","515327","554565","645136","805595","926619","1041206","1198294"
"France*","EUROPE","Western Europe","5890023","5936326","6141350","6839877","7322210","7978076","8610719","9186757","2995574","2970070","3032975","3348081","3552403","3853136","4145885","4381792","2894449","2966256","3108375","3491796","3769807","4124940","4464834","4804965"
"Germany","EUROPE","Western Europe","6960112","9637208","10397459","11210590","11665950","12646813","15021300","16750084","3480056","4818604","5094755","5437136","5599656","6196938","7435543","8375042","3480056","4818604","5302704","5773454","6066294","6449875","7585757","8375042"
"Liechtenstein","EUROPE","Western Europe","10906","13311","15483","18898","22342","23799","25877","27669","5956","7068","7980","9434","10867","11605","12619","13493","4950","6243","7503","9464","11475","12194","13258","14176"
"Luxembourg","EUROPE","Western Europe","113795","126106","139750","150618","163142","248888","298062","344309","56062","62292","69286","74951","81420","126129","151653","175183","57733","63814","70464","75667","81722","122759","146409","169126"
"Monaco","EUROPE","Western Europe","20359","21060","21787","21312","21132","25983","26601","27106","9471","9955","10458","10322","10325","12599","12897","13142","10888","11105","11329","10990","10807","13384","13704","13964"
"Netherlands*","EUROPE","Western Europe","1194306","1397371","1584638","1735632","1850649","2024059","2425521","2956518","583710","686812","780509","845376","888791","966517","1170110","1438571","610596","710559","804129","890256","961858","1057542","1255411","1517947"
"Switzerland","EUROPE","Western Europe","1252320","1363586","1484514","1740312","2053953","2385713","2610189","2773840","638198","718853","795489","900594","1003457","1167318","1281032","1377346","614122","644733","689025","839718","1050496","1218395","1329157","1396494"
"Anguilla*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","2570","3317","4063","4684","5103","5471","5715","5918","1258","1584","1910","2210","2415","2594","2706","2802","1312","1733","2153","2474","2688","2877","3009","3116"
"Antigua and Barbuda","LATIN AMERICA AND THE CARIBBEAN","Caribbean","12029","17550","23071","24741","26412","28082","29386","30473","5775","8046","10316","11052","11788","12524","13120","13605","6254","9504","12755","13689","14624","15558","16266","16868"
"Aruba*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","14444","22274","30104","32540","34328","36114","53593","73494","6429","9974","13519","14559","15312","16108","24307","33333","8015","12300","16585","17981","19016","20006","29286","40161"
"Bahamas","LATIN AMERICA AND THE CARIBBEAN","Caribbean","26855","31654","36454","45531","54745","59241","63583","67285","13827","16620","19414","23613","27883","29963","32161","34033","13028","15034","17040","21918","26862","29278","31422","33252"
"Barbados","LATIN AMERICA AND THE CARIBBEAN","Caribbean","24024","26224","28424","30624","32825","34475","34869","35187","10065","11235","12405","13575","14746","15488","15668","15811","13959","14989","16019","17049","18079","18987","19201","19376"
"Bonaire, Sint Eustatius and Saba*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","12930","13508","14233","16980","20559","24610","26454","30676","6484","6761","7047","8704","10904","12845","13668","15790","6446","6747","7186","8276","9655","11765","12786","14886"
"British Virgin Islands*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","8035","10046","12958","15016","17076","19535","22164","24520","4126","5034","6386","7401","8295","9413","10681","11816","3909","5012","6572","7615","8781","10122","11483","12704"
"Cayman Islands*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","9315","12666","19176","20679","24062","26193","29242","31935","4587","6339","9671","10515","12310","13406","15017","16400","4728","6327","9505","10164","11752","12787","14225","15535"
"Cuba","LATIN AMERICA AND THE CARIBBEAN","Caribbean","34555","26187","18545","11693","7373","4649","3024","2144","17278","12559","8212","5152","3232","2027","1312","930","17277","13628","10333","6541","4141","2622","1712","1214"
"Curaçao*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","43150","43150","43150","43150","34630","37611","57210","80020","18205","18205","18205","18205","14196","15467","24958","34909","24945","24945","24945","24945","20434","22144","32252","45111"
"Dominica","LATIN AMERICA AND THE CARIBBEAN","Caribbean","2519","3121","3723","4744","8110","8093","8284","8440","1309","1623","1955","2491","4200","4215","4314","4395","1210","1498","1768","2253","3910","3878","3970","4045"
"Dominican Republic","LATIN AMERICA AND THE CARIBBEAN","Caribbean","291151","323381","355611","375417","395479","549289","603794","738667","181677","198842","216008","227826","239808","353448","382542","444850","109474","124539","139603","147591","155671","195841","221252","293817"
"Grenada","LATIN AMERICA AND THE CARIBBEAN","Caribbean","4263","5544","6825","6902","6980","7057","7213","7340","2106","2746","3386","3424","3463","3502","3292","3350","2157","2798","3439","3478","3517","3555","3921","3990"
"Guadeloupe*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","65944","74566","83188","89065","94942","90956","90206","89610","32718","36248","39778","41273","42768","38680","37914","37664","33226","38318","43410","47792","52174","52276","52292","51946"
"Haiti","LATIN AMERICA AND THE CARIBBEAN","Caribbean","19084","18129","17222","16360","17182","18047","18884","19581","10606","10076","9572","9093","9552","10036","10499","10887","8478","8053","7650","7267","7630","8011","8385","8694"
"Jamaica","LATIN AMERICA AND THE CARIBBEAN","Caribbean","20475","22713","24952","24284","23677","23165","23629","24007","9981","11242","12503","12248","12024","11765","12008","12200","10494","11471","12449","12036","11653","11400","11621","11807"
"Martinique*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","38705","46599","54492","57034","59575","69174","68624","68187","19091","22271","25451","25891","26330","29432","29199","29013","19614","24328","29041","31143","33245","39742","39425","39174"
"Montserrat*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","2013","1612","1211","1244","1291","1351","1379","1402","1029","825","622","639","664","696","711","723","984","787","589","605","627","655","668","679"
"Puerto Rico*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","321909","338067","355038","352144","304969","280494","247132","223323","153354","160739","168480","166780","142939","130916","114868","103801","168555","177328","186558","185364","162030","149578","132264","119522"
"Saint Barthélemy*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saint Kitts and Nevis","LATIN AMERICA AND THE CARIBBEAN","Caribbean","3210","4248","5871","6682","7245","7443","7725","7958","1642","2196","3068","3501","3806","3916","4066","4189","1568","2052","2803","3181","3439","3527","3659","3769"
"Saint Lucia","LATIN AMERICA AND THE CARIBBEAN","Caribbean","5305","7155","9871","9839","9050","8673","8338","8079","2618","3563","4960","4841","4377","4179","4004","3880","2687","3592","4911","4998","4673","4494","4334","4199"
"Saint Martin (French part)*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saint Vincent and the Grenadines","LATIN AMERICA AND THE CARIBBEAN","Caribbean","3970","4135","4307","4436","4569","4637","4738","4820","1928","2011","2099","2198","2302","2355","2443","2485","2042","2124","2208","2238","2267","2282","2295","2335"
"Sint Maarten (Dutch part)*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","23861","23861","23861","13099","26203","27295","28845","30148","11439","11439","11439","6285","12570","13077","13822","14446","12422","12422","12422","6814","13633","14218","15023","15702"
"Trinidad and Tobago","LATIN AMERICA AND THE CARIBBEAN","Caribbean","50666","45994","41753","44812","48226","50021","78849","113478","23528","21303","19288","20647","23152","24464","39179","56386","27138","24691","22465","24165","25074","25557","39670","57092"
"Turks and Caicos Islands*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","5062","7039","9015","13115","17216","22723","25748","28455","2620","3643","4665","6787","8907","11759","13325","14726","2442","3396","4350","6328","8309","10964","12423","13729"
"United States Virgin Islands*","LATIN AMERICA AND THE CARIBBEAN","Caribbean","51970","54241","56611","56647","56684","56721","56753","56779","24824","25760","26730","26726","26722","26728","26744","26756","27146","28481","29881","29921","29962","29993","30009","30023"
"Belize","LATIN AMERICA AND THE CARIBBEAN","Central America","30404","33446","36488","41438","46390","54615","62043","68706","16393","17512","18631","21052","23475","27473","31210","34562","14011","15934","17857","20386","22915","27142","30833","34144"
"Costa Rica","LATIN AMERICA AND THE CARIBBEAN","Central America","417628","364287","310946","358398","405779","411697","520729","628404","212173","184485","156798","176445","196055","197613","263636","318150","205455","179802","154148","181953","209724","214084","257093","310254"
"El Salvador","LATIN AMERICA AND THE CARIBBEAN","Central America","47360","39537","31713","36029","40342","42059","42767","43342","22218","18564","14909","17034","19157","20006","20344","20618","25142","20973","16804","18995","21185","22053","22423","22724"
"Guatemala","LATIN AMERICA AND THE CARIBBEAN","Central America","264257","156188","48119","57214","66386","74852","84311","92732","112615","66913","21211","26048","30919","35728","39916","43903","151642","89275","26908","31166","35467","39124","44395","48829"
"Honduras","LATIN AMERICA AND THE CARIBBEAN","Central America","270423","149442","28461","27934","27288","38330","39195","39901","137573","76077","14581","14476","14306","20123","20575","20946","132850","73365","13880","13458","12982","18207","18620","18955"
"Mexico","LATIN AMERICA AND THE CARIBBEAN","Central America","701513","458051","526172","701803","957593","1088731","1335154","1726089","367740","233126","267158","355783","485887","554049","689611","909750","333773","224925","259014","346020","471706","534682","645543","816339"
"Nicaragua","LATIN AMERICA AND THE CARIBBEAN","Central America","41421","26619","30389","34919","37345","40261","42167","43757","20860","13364","15423","17774","19135","20723","21683","22500","20561","13255","14966","17145","18210","19538","20484","21257"
"Panama","LATIN AMERICA AND THE CARIBBEAN","Central America","62744","70848","83410","109461","157788","184710","313165","477749","33148","36740","42437","55632","81203","94841","167057","254854","29596","34108","40973","53829","76585","89869","146108","222895"
"South America","LATIN AMERICA AND THE CARIBBEAN","Central America","4319559","4243306","4210082","4423159","5198444","5673584","10242853","12577921","2159681","2101631","2067229","2166274","2551858","2800532","5096474","6219168","2159878","2141675","2142853","2256885","2646586","2873052","5146379","6358753"
"Argentina","LATIN AMERICA AND THE CARIBBEAN","Central America","1647935","1589660","1543851","1641560","1799680","1856613","1912294","1958039","784994","741440","705920","752040","828783","851985","867437","879705","862941","848220","837931","889520","970897","1004628","1044857","1078334"
"Bolivia (Plurinational State of)","LATIN AMERICA AND THE CARIBBEAN","Central America","73758","83598","92658","107745","122846","143008","164121","183234","37549","42806","47665","56019","64380","74949","85961","95972","36209","40792","44993","51726","58466","68059","78160","87262"
"Brazil","LATIN AMERICA AND THE CARIBBEAN","Central America","803218","732622","687362","641029","596859","646540","1048866","1406299","428431","390904","367897","344550","322553","355744","640244","818836","374787","341718","319465","296479","274306","290796","408622","587463"
"Chile","LATIN AMERICA AND THE CARIBBEAN","Central America","100133","125754","166608","241522","361531","598039","1476240","1538324","50080","61978","80087","114481","170529","299435","752067","783289","50053","63776","86521","127041","191002","298604","724173","755035"
"Colombia","LATIN AMERICA AND THE CARIBBEAN","Central America","100672","109550","109863","110495","126424","145504","1932807","3063518","51083","55620","56187","57131","66244","77608","961374","1521185","49589","53930","53676","53364","60180","67896","971433","1542333"
"Ecuador","LATIN AMERICA AND THE CARIBBEAN","Central America","139204","145626","150585","144415","358874","332142","721560","747749","69881","73220","75880","72581","180197","163244","351009","361486","69323","72406","74705","71834","178677","168898","370551","386263"
"Falkland Islands (Malvinas)*","LATIN AMERICA AND THE CARIBBEAN","Central America","855","868","1067","1166","1436","1571","1957","2333","488","510","636","675","807","873","1089","1298","367","358","431","491","629","698","868","1035"
"French Guiana*","LATIN AMERICA AND THE CARIBBEAN","Central America","63612","70131","76649","86468","96288","106108","119249","130924","34843","36869","38895","42729","46564","50399","56642","62188","28769","33262","37754","43739","49724","55709","62607","68736"
"Guyana","LATIN AMERICA AND THE CARIBBEAN","Central America","4095","6352","8610","10868","8182","8661","31169","54175","2200","3405","4611","5817","4530","4794","14497","25197","1895","2947","3999","5051","3652","3867","16672","28978"
"Paraguay","LATIN AMERICA AND THE CARIBBEAN","Central America","195884","186570","176608","168243","160299","156462","169567","180837","102816","97869","92052","87698","83394","81303","88311","94180","93068","88701","84556","80545","76905","75159","81256","86657"
"Peru","LATIN AMERICA AND THE CARIBBEAN","Central America","48985","56831","66103","77195","102662","152562","1184762","1837219","24140","28019","32684","38360","51423","77554","547812","848513","24845","28812","33419","38835","51239","75008","636950","988706"
"Suriname","LATIN AMERICA AND THE CARIBBEAN","Central America","18083","22320","27506","33662","39713","43127","47801","51902","9767","12091","14938","18338","21658","23544","26271","28525","8316","10229","12568","15324","18055","19583","21530","23377"
"Uruguay","LATIN AMERICA AND THE CARIBBEAN","Central America","98116","93428","88874","82317","76303","78799","108267","160064","45830","43427","41095","37658","34535","35642","50937","75989","52286","50001","47779","44659","41768","43157","57330","84075"
"Venezuela (Bolivarian Republic of)","LATIN AMERICA AND THE CARIBBEAN","Central America","1025009","1019996","1013738","1076474","1347347","1404448","1324193","1263304","517579","513473","508682","538197","676261","703458","652823","622805","507430","506523","505056","538277","671086","700990","671370","640499"
"Bermuda*","NORTHERN AMERICA","NORTHERN AMERICA","15683","16676","17684","18108","18547","19212","19739","20171","7557","8044","8540","8783","9035","9421","9724","9937","8126","8632","9144","9325","9512","9791","10015","10234"
"Canada","NORTHERN AMERICA","NORTHERN AMERICA","4251056","4853738","5525404","6086976","7035001","8049874","8332892","8805839","2085083","2352856","2665735","2918018","3367095","3854647","3969673","4170595","2165973","2500882","2859669","3168958","3667906","4195227","4363219","4635244"
"Greenland*","NORTHERN AMERICA","NORTHERN AMERICA","9282","7121","6601","6556","6091","6009","5899","5812","6472","4875","4616","4461","4119","3951","3822","3766","2810","2246","1985","2095","1972","2058","2077","2046"
"Saint Pierre and Miquelon*","NORTHERN AMERICA","NORTHERN AMERICA","1099","1320","1458","1147","1017","986","998","1008","560","682","756","597","531","516","523","528","539","638","702","550","486","470","475","480"
"United States of America*","NORTHERN AMERICA","NORTHERN AMERICA","23266147","28525723","34806848","39545828","43947211","47942986","50471028","52375047","11386092","13995947","17206724","19787854","21607962","23319081","24488884","25624986","11880055","14529776","17600124","19757974","22339249","24623905","25982144","26750061"
"Australia/New Zealand","OCEANIA","OCEANIA","4517870","4810557","5075813","5735938","6836784","7865257","8948750","9579393","2295417","2415958","2524601","2835145","3383950","3859400","4369788","4664445","2222453","2394599","2551212","2900793","3452834","4005857","4578962","4914948"
"Australia*","OCEANIA","OCEANIA","3991501","4215646","4389847","4880921","5879802","6733056","7604850","8111404","2033003","2123962","2191461","2420114","2920447","3307254","3709985","3943714","1958498","2091684","2198386","2460807","2959355","3425802","3894865","4167690"
"New Zealand*","OCEANIA","OCEANIA","526369","594911","685966","855017","956982","1132201","1343900","1467989","262414","291996","333140","415031","463503","552146","659803","720731","263955","302915","352826","439986","493479","580055","684097","747258"
"Fiji","OCEANIA","Melanesia","13283","13001","12719","12434","13357","13751","14087","14362","6847","6726","6601","6563","7143","7421","7601","7749","6436","6275","6118","5871","6214","6330","6486","6613"
"New Caledonia*","OCEANIA","Melanesia","37673","43662","49651","55405","61158","68881","73141","76738","20885","23908","26932","29909","32886","36181","38284","40167","16788","19754","22719","25496","28272","32700","34857","36571"
"Papua New Guinea","OCEANIA","Melanesia","33710","33526","26304","29971","30425","30940","31068","31171","19362","19832","15874","17851","18466","18734","18895","18958","14348","13694","10430","12120","11959","12206","12173","12213"
"Solomon Islands","OCEANIA","Melanesia","4226","4178","3981","3271","2760","2585","2520","2469","2349","2328","2224","1830","1546","1450","1415","1386","1877","1850","1757","1441","1214","1135","1105","1083"
"Vanuatu","OCEANIA","Melanesia","2308","2461","2626","2800","2991","3186","3257","3315","1269","1295","1320","1398","1487","1583","1619","1648","1039","1166","1306","1402","1504","1603","1638","1667"
"Guam*","OCEANIA","Micronesia","69755","71912","74070","74743","75416","76089","80472","84159","39364","38822","38280","38602","38924","39246","41508","43410","30391","33090","35790","36141","36492","36843","38964","40749"
"Kiribati","OCEANIA","Micronesia","2162","2223","2283","2487","2868","2919","3126","3302","1107","1139","1188","1312","1512","1539","1650","1743","1055","1084","1095","1175","1356","1380","1476","1559"
"Marshall Islands","OCEANIA","Micronesia","1158","1480","1891","2417","3089","3284","3298","3309","721","916","1164","1485","1895","2011","2021","2028","437","564","727","932","1194","1273","1277","1281"
"Nauru","OCEANIA","Micronesia (Fed. States of)","2815","2605","2394","2253","906","1833","2201","2548","1506","1395","1283","1208","486","1037","1297","1501","1309","1210","1111","1045","420","796","904","1047"
"Palau","OCEANIA","Northern Mariana Islands*","2801","4749","6310","6043","5490","4937","5088","5212","1800","2808","3905","3620","3211","2996","2888","2958","1001","1941","2405","2423","2279","1941","2200","2254"
"American Samoa*","OCEANIA","Polynesia*","21283","23098","24912","24233","23555","23513","23608","23684","11175","12037","12898","12498","12098","11998","12047","12086","10108","11061","12014","11735","11457","11515","11561","11598"
"Cook Islands*","OCEANIA","Polynesia*","2587","2686","2785","3277","3769","4168","4579","4937","1443","1497","1552","1724","1895","2090","2290","2469","1144","1189","1233","1553","1874","2078","2289","2468"
"Niue*","OCEANIA","French Polynesia*","461","480","498","522","589","588","588","588","245","257","268","282","319","319","319","319","216","223","230","240","270","269","269","269"
"Samoa","OCEANIA","French Polynesia*","3357","4694","5998","5746","5122","4255","4021","3843","1771","2451","3101","2940","2594","2151","2031","1941","1586","2243","2897","2806","2528","2104","1990","1902"
"Tokelau*","OCEANIA","French Polynesia*","360","506","712","1003","1128","1185","1238","1282","196","268","366","500","543","564","586","607","164","238","346","503","585","621","652","675"
"Tonga","OCEANIA","French Polynesia*","2911","3274","3684","4301","4607","3954","3742","3581","1488","1718","1981","2324","2503","2158","2044","1956","1423","1556","1703","1977","2104","1796","1698","1625"
"Tuvalu","OCEANIA","French Polynesia*","318","263","218","209","220","230","239","246","180","148","121","115","121","126","132","136","138","115","97","94","99","104","107","110"
"Wallis and Futuna Islands*","OCEANIA","French Polynesia*","1402","1704","2015","2191","2111","2050","2040","2032","726","872","1018","1107","1066","1035","1030","1026","676","832","997","1084","1045","1015","1010","1006"
